Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.837491492139642,-0.972075564965408,1.16249858131939,0,0,0,2.08362654858377,0.0301960878113478,2.26157794619122E-18,-3.75267730629766E-10,0.00535275266306519,-2.31046346684137E-07,0.0345230243527963,0,0,0,0,0,0,package://legplsdontdie/meshes/base_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://legplsdontdie/meshes/base_link.STL,,Body_Part-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_hip,0.00586709982152644,-0.00109387924658988,0.0786652080445772,0,0,0,0.0682835218758289,0.00010899842767143,7.61836482680585E-06,1.69738785432681E-05,0.000148439931165717,-3.1646114936272E-06,0.00011919420492883,0,0,0,0,0,0,package://legplsdontdie/meshes/front_right_hip.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://legplsdontdie/meshes/front_right_hip.STL,,FrontRightHip-1,Origin_joint_FR1,Axis_joint_FR1,joint_FR1,continuous,0.938841492139651,-0.736351710589816,1.12887994406759,1.5707963267949,-0.184324845946536,0,base_link,0,0,1,,,,,,,,,,,,
front_right_upperleg,0.00576717017665218,-0.0238153004074827,0.00489500079392668,0,0,0,0.25409816353557,0.000290608679969887,-1.55295018330674E-05,-2.64322160417468E-07,0.000212077178180232,-9.02281683603711E-08,0.000253161049920536,0,0,0,0,0,0,package://legplsdontdie/meshes/front_right_upperleg.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://legplsdontdie/meshes/front_right_upperleg.STL,,FrontRightUpperLeg-1,Origin_joint_FR2,Axis_joint_FR2,joint_FR2,continuous,0,0,0.05,-0.0500381906591324,0,0,front_right_hip,1,0,0,,,,,,,,,,,,
front_right_lowerleg,-0.0496823860958082,-0.109304374844073,-0.0429283468923117,0,0,0,0.228830429344517,0.000227364537542388,-2.22296498521375E-05,-1.70540956206237E-06,0.000110497362697726,-1.14299459021802E-05,0.000209619285831467,0,0,0,0,0,0,package://legplsdontdie/meshes/front_right_lowerleg.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://legplsdontdie/meshes/front_right_lowerleg.STL,,FrontRightLowerLeg-1,Origin_joing_FR3,Axis_joing_FR3,joing_FR3,continuous,0,-0.179628169054509,0.00499374175436673,0.150645271248945,0,0,front_right_upperleg,1,0,0,,,,,,,,,,,,
front_right_wheel,0.00214758911403679,0.0010586642196917,0.00749493675092416,0,0,0,0.433565950722189,0.000585506608611164,4.73764686392091E-06,3.35406588929725E-05,0.000403944888639664,8.74640917109006E-07,0.000410013184880366,0,0,0,0,0,0,package://legplsdontdie/meshes/front_right_wheel.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://legplsdontdie/meshes/front_right_wheel.STL,,FrontRightWheel-1,Origin_joint_FR4,Axis_joint_FR4,joint_FR4,revolute,0.0071802,-0.16,0,1.6105,0,0,front_right_lowerleg,1,0,0,0,0,0,0,,,,,,,,
back_right_hip,0.00596820174941048,-1.03465580547635E-08,0.0786652080445773,0,0,0,0.06828352187583,0.000107578045766239,2.87306283016807E-11,1.7266363795163E-05,0.000149860313070913,1.73076976796288E-11,0.000119194204928831,0,0,0,0,0,0,package://legplsdontdie/meshes/back_right_hip.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://legplsdontdie/meshes/back_right_hip.STL,,RearRightHip-1,Origin_joint_BR1,Axis_joint_BR1,joint_BR1,continuous,0.93884,-1.0359,1.1289,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
back_right_upperleg,0.00998407455990236,-0.0221112390102158,0.00497407406201233,0,0,0,0.254098163006665,0.000293567664041162,-3.5437418233404E-07,1.26797375602566E-07,0.000209119528716847,-1.77613926325139E-07,0.000253159715046794,0,0,0,0,0,0,package://legplsdontdie/meshes/back_right_upperleg.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://legplsdontdie/meshes/back_right_upperleg.STL,,RearRightUpperLeg-1,Origin_joint_BR2,Axis_joint_BR2,joint_BR2,continuous,0,0,0.05,0,0,0,back_right_hip,1,0,0,,,,,,,,,,,,
back_right_lowerleg,0.00313707084206694,-0.113584537634935,-0.0424962734400056,0,0,0,0.228830429344515,0.000231457353091744,-5.81151439161659E-09,5.8052619065161E-09,0.000106373345468602,-1.13763339381302E-05,0.000209650487511229,0,0,0,0,0,0,package://legplsdontdie/meshes/back_right_lowerleg.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://legplsdontdie/meshes/back_right_lowerleg.STL,,RearRightLowerLeg-1,Origin_joint_BR3,Axis_joint_BR3,joint_BR3,continuous,0,-0.179378082493681,0.00500000000132195,0,0,0,back_right_upperleg,1,0,0,,,,,,,,,,,,
back_right_wheel,0.0450289300630089,-1.27669597116409E-09,1.67681291074473E-09,0,0,0,0.433565950722189,0.000591822040064194,7.83411973921812E-12,-1.02894021369377E-11,0.000403821349041375,3.02423575260969E-11,0.000403821293025627,0,0,0,0,0,0,package://legplsdontdie/meshes/back_right_wheel.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://legplsdontdie/meshes/back_right_wheel.STL,,RearRightWheel-1,Origin_joint_BR4,Axis_joint_BR4,joint_BR4,revolute,0.027541,-0.16,0,0,0,0,back_right_lowerleg,1,0,0,0,0,0,0,,,,,,,,
front_left_hip,-0.00596820174941548,1.03454129707359E-08,0.0786652080445769,0,0,0,0.0682835218758296,0.000107578045766238,2.87306280721847E-11,-1.72663637951629E-05,0.000149860313070912,-1.73076973646736E-11,0.000119194204928831,0,0,0,0,0,0,package://legplsdontdie/meshes/front_left_hip.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://legplsdontdie/meshes/front_left_hip.STL,,FrontLeftHip-1,Origin_joint_FL1,Axis_joint_FL1,joint_FL1,continuous,0.73614,-0.73585,1.1289,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
